maj_frac,maj_count,gmm_ratio,n_generated,density_pct,val_f1,best_threshold,test_precision,test_recall,test_f1,clf
0.5,90980,0.01,594,,0.8129032258064516,0.2731818181818182,0.7192982456140351,0.8367346938775511,0.7735849056603774,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.1,18196,0.01,0,,0.8,0.2378989898989899,0.7232142857142857,0.826530612244898,0.7714285714285715,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.05,9098,0.05,139,5.0,0.8157894736842105,0.4848787878787879,0.7247706422018348,0.8061224489795918,0.7632850241545893,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.1,18196,0.005,0,,0.8076923076923077,0.2278181818181818,0.7043478260869566,0.826530612244898,0.7605633802816901,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.5,90980,0.005,139,10.0,0.7894736842105263,0.2026161616161616,0.7181818181818181,0.8061224489795918,0.7596153846153846,"LogisticRegression(C=1, max_iter=5000, random_state=42, solver='liblinear')"
0.05,9098,0.01,0,5.0,0.759493670886076,0.3588686868686869,0.7117117117117117,0.8061224489795918,0.7559808612440191,"LogisticRegression(C=1, max_iter=5000, random_state=42, solver='liblinear')"
0.05,9098,0.005,0,,0.7692307692307693,0.38407070707070706,0.7264150943396226,0.7857142857142857,0.7549019607843137,"LogisticRegression(C=1, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')"
0.25,45490,0.01,139,10.0,0.7785234899328859,0.30342424242424243,0.7264150943396226,0.7857142857142857,0.7549019607843137,"LogisticRegression(C=10, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')"
0.05,9098,0.01,0,,0.8,0.32862626262626266,0.7017543859649122,0.8163265306122449,0.7547169811320755,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.5,90980,0.005,139,5.0,0.7947019867549668,0.19757575757575757,0.7155963302752294,0.7959183673469388,0.7536231884057971,"LogisticRegression(C=1, max_iter=5000, random_state=42, solver='liblinear')"
0.1,18196,0.01,0,10.0,0.7792207792207793,0.2731818181818182,0.7129629629629629,0.7857142857142857,0.7475728155339806,"LogisticRegression(C=1, max_iter=5000, random_state=42, solver='liblinear')"
0.1,18196,0.005,0,5.0,0.7741935483870968,0.2681414141414141,0.7129629629629629,0.7857142857142857,0.7475728155339806,"LogisticRegression(C=10, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')"
0.1,18196,0.005,0,10.0,0.7741935483870968,0.2681414141414141,0.7129629629629629,0.7857142857142857,0.7475728155339806,"LogisticRegression(C=10, max_iter=5000, random_state=42, solver='liblinear')"
0.1,18196,0.01,0,5.0,0.7741935483870968,0.2681414141414141,0.7129629629629629,0.7857142857142857,0.7475728155339806,"LogisticRegression(C=10, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')"
0.25,45490,0.01,139,,0.7843137254901961,0.2378989898989899,0.7129629629629629,0.7857142857142857,0.7475728155339806,"LogisticRegression(C=10, max_iter=5000, random_state=42, solver='liblinear')"
0.25,45490,0.005,0,5.0,0.7692307692307693,0.12701010101010102,0.7027027027027027,0.7959183673469388,0.7464114832535885,"LogisticRegression(C=10, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')"
0.25,45490,0.005,0,,0.7692307692307693,0.12701010101010102,0.7027027027027027,0.7959183673469388,0.7464114832535885,"LogisticRegression(C=10, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')"
0.25,45490,0.005,0,10.0,0.7692307692307693,0.12701010101010102,0.7027027027027027,0.7959183673469388,0.7464114832535885,"LogisticRegression(C=10, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')"
0.05,9098,0.05,139,10.0,0.7619047619047619,0.636090909090909,0.7281553398058253,0.7653061224489796,0.746268656716418,"LogisticRegression(C=1, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')"
0.05,9098,0.05,139,,0.7581699346405228,0.5504040404040405,0.7142857142857143,0.7653061224489796,0.7389162561576355,"LogisticRegression(C=1, max_iter=5000, random_state=42, solver='liblinear')"
0.5,90980,0.005,139,,0.7848101265822784,0.12196969696969698,0.6810344827586207,0.8061224489795918,0.7383177570093458,"LogisticRegression(C=10, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')"
